Shloka Number,Text
18,"रक्षतु वो रोमलता मायामहिलात्वे मधुमथनस्य गूढोदरतामरसानु-
सारिणी भ्रमरमालेव"
19,"स जयति यस्य युवतित्वे क्षामोदरापसर्रा
भुवनैरिव स्तनजघनानां गौरवं किमपि निर्वर्तितम्"
20,"स जयति
यामिकायमानमुखरालिवलयवेष्टिताम्| लक्ष्मीनिवेशान्तःपुरवृतिमिव यो
वहति वनमालाम्"
21,"बालत्वे हरेर्जयति यशोदया चुम्बितं वदनम्| प्रतिषिद्धनाभिमागां-
निर्गतं पुण्डरीकमिव"
22,"नखरेखा राधाकारणाः करुणां हरन्तु वो
सरसाः| वक्षःस्थले कौस्तुभ किरणायमानाः कृष्णस्य"
23,"आत्मगमितवेदनत्वेन भरवलितशेषकर्मयोः | निरुपालम्भ
बल केशवयोः परिवल्गितं जयति"
24,"प्रणमत बलस्य हुंकारभयवशाद् घूर्णमानयमुनाविव | मद-
दोषशिथिल कृष्णी त्तरीयसंदानितौ चरणी"
25,"अन्तःसंलीनफणा-
सहस्ररत्नप्रभामिव वमन्ती हलिनो मदारुणा विद्रावयतु दुरितानि वो
दृष्टिः"
26,"अप्पा-गमित्र विअणतणेण भर-दलिअ सेस कुम्माण |
णिरुवार्लभं वल केसवाण परिवगिअं अः"
27,"तं नमत पीतवसन यो वहति
स्वभावश्यामलच्छायम् दिवसनिशाल प्रनिर्गमविभागशवलमिव शरीरम"
28,"केयूरोरअ-सुंकार संकुले वाण-भुअ-वण-च्छेआ |
सो जअ सणीसासे व्व वह जो अमरिसा बाहू | BI
श्रीस्तननिवेशमार्गा जयन्ति भिक्षाङ्गराग निर्वर्तिताः| यक्षसि नाभि-
नलिनीदलायमाना मधुमथनस्य"
29,"स जयति यस्य लालाट-
लोचनासगिनी भूलेखा अद्यापि दृश्यते कामस्य दाहकृष्णा
धनुर्लतेव"
30,"तं नमत कामस्नेहादथापि धारयति यो जटाबद्धम् |
तृतीयनयनाभिनिपतन कृतव्यवसायमिव मृगाङ्कम्"
31,"स वः सुखा-
म्युपनयतु विकटतृतीयाक्षिप्रेरितं यस्य निवसति शीर्ष शशिच्छलेन
निजकमिव ललाटम्"
32,"कृष्टकुसुमरज उत्करकडारचा पच्छलेन स
जयति अभिधाव्य मिलित इव यस्य तृतीयाक्ष्णा कामः"
33,"मुकुटी
त्सङ्गपरियहगा ज्योत्स्नावभासिनो नमत नित्यमेव पशुपतेः परि-
स्थितं वामनच्छायम्"
34,"जयति
जटासंयमनं पशुपतेर्जलधिमथनविरमे | शिथिलेन शैलनिघर्षणकान्त-
वक्षसा वासुकिना"
35,"पार्यारोपणतरलितकराकुलिमदितताम्रलला
टन् | प्रतिविद्धत्तीयनयनोममिव नमामो हरकिरातम्"
36,"सो जड़ झत्ति कवलिअ-विसस्स कंटम्मि जस्स णिव्वडिआ |
खण-दिण्णुव्वत-कअंत-पास णिहसोचमा रेहा"
37,"तं प्रणमत यः शीर्षात् कथमपि भ्रष्टस्थितं समुद्रहति| अद्यापि
कुसुमीकृत केशवाक्षिपत्रमिव तृतीयाक्षि"
38,"उपरिस्थितचन्द्रालोक-
पुजिता जयति कण्ठमले शीर्षच्छायेव विषप्रभामयी स्थाणो रेखा"
39,"देहापरिठितगीरीहराराधन कहदयमिव खण्डत्वेन परिष्ठितं
त्रिनयनाकम्"
40,"जलदागमे मज्जति जले सीदन्नदीतटनिवेशम् मधुमथशय्यात्व-
घटितशेषमुक्तमिव महीपीठम्"
41,"घूर्णनशीलकडारतारं
ललाटनयनं पिनाकिनी नमत अद्यापि क्षयाहुती कृतज्वलद्ब्रह्माण्डपिण्ड-
मिव"
42,"तं नमत कुलमिव यस्य सुलभसंभावनां परिहरन् | अद्यापि
बाणमनङ्गो न मुञ्चति भयात् कुमारे"
43,"सा जयति नूपुरवता यस्याश्च-
रणेन ताडितस्कन्धः | उद्भिन्नरुधिरकुसुमी जातो महिषासुराशोकः"
44,"प्रथमहरालिङ्गनलज्जिताया आर्याया वः सुखं दत्ताम् | कण्ठप्रभाव-
लम्बनस्तोकस्थामनी अक्षिणी"
45,"भ्रान्तं प्रलयप्रदोषे विविधकपाले नमत
काल्याः | मिलिताशेषनिशालक्ष विषमबहुचन्द्रखण्ड इव"
46,"डिम्बं
वचामुण्डायाः पृथुशिरादण्डमण्डनं हरतु तनूदरनप्रभृतान्त्रवलयभृतमिव
शरीरम्"
47,"सा जयति चतुर्मुखासनदलोदरेषु दुर्ललिता कवि-
जिल्ह्नानिवहेषु च या निहितपदं परिभ्रमति"
48,"तं नमत यस्य दृश्यते
विम्बं विच्छायलाञ्छनच्छायम् | गङ्गा निर्गमपरिगलितमध्यलावण्यतुच्छ-
मिव"
49,"वैडूर्यनिभास्तं नमत यस्य ते स्यन्दनं परिवहन्ति प्रतिदिवस-
प्रथमप्रेरिततमीमलिनाङ्गा इव तुरंगाः"
50,"जअइ जअ रक्खणे पुंजि व जं फुरइ पअणुअं रविणो |
पलयम्मि जं च पविरल्लिअं व बहलाइ गो-जालं"
51,"तं नमत कोलतुलने सकलफणामणिप्रसक्त प्रतिविम्वम् उग्रतीय
यो बहुशिरोविभकलघुकं घरावलयम्"
52,"प्रणमत कालिन्दीसलिल-
दण्डघटितमिव सुरसरित्प्रवाहम् दन्तस्तम्भं विभ्रान्तविकटहस्तं गज-
मुखस्य"
53,"तं नमत गजमुखं विकटदन्त करदण्ड कलनलीलासु |
मिलित हिमवद्विन्ध्यानिव करोति यी मेरुप्राग्भारान्"
54,"गणपतेः
सदासङ्गतगीरीहरप्रेमरागग्रीडितस्य दन्तो वानमुखार्थान्तपुत्रितो जयति
हास इव"
55,"नमत दनुजेन्द्र निधने मायामधुसूदनमुपयन्त्याः |
मानिततरलत्वविभ्रमाणि भ्रान्तानि लक्ष्म्याः"
56,"हस्तालम्बित-
पङ्कजमृगाएकमुदधेर्निर्गतं जयति | संभावित निजानन सौभाग्यगुणाया
इव श्रियाः"
57,"की सुमधनुर्वाणग्रहसौरभलग्नभ्रमराविव कामस्य |
उत्पतिरतिप्रणयाकज्जलाइकी करी नमत"
58,"1
ददातु सुखं वः पशुपतिशिरसो गौरी सोपालम्भेव हिमालया-
परिघूर्णनशीला गङ्गा"
59,"सा जयति हरशिरःस्थे यस्याः सलिले
घूर्णनशीलकपालः | अद्यापि पितामहत्यमनधे चतुराननो वहति"
60,"हरिचरणनखप्रभया धौतमिव प्रथमकम् | हरशाशनः पादैः संवलितमिव
द्वितीयकम्"
61,"गृहीतहिमच्छायकमिव तुहिनाद्रिसमापतने| कार-
परिशुद्धमिव गगाया नमत सलिलम्"
62,"इह ते जयन्ति कवयो जगदेत येषां सकलपरिणामम् | वाचासु
स्थितं दृश्यत आमोद्धनं वा तुच्छे वा"
63,"निर्जयैव वाचात्मनो गौरवं
निवेशयन्तः | ये यन्ति प्रशंसामेव जयन्तीह ते महाकवयः"
64,"दौर्गत्येऽपि
सुखानि तेषां विभवेऽपि भवन्ति दुःखानि काव्यपरमार्थरसिकानि येषां
जायन्ते हृदयानि"
65,"उन्मीलति लावण्यं प्राकृतच्छायया संस्कृत-
पढ़ानाम्| संस्कृतसंस्कारोत्कर्षेण प्राकृतस्यापि प्रभावः"
66,"स्थित-
मस्थितमिव दृश्यतेऽस्थितमपि परिष्ठितमिव प्रतिभाति यथासंस्थितं च
दृश्यते सुकवीनामेताः पदव्यः"
67,"विनयगुणो दण्डाडम्बरअ मण्डयतो
यथा नरेन्द्रश्रियम्| तथा टङ्कारो मधुरत्वं च वाचं प्रसाधयतः"
68,"इति सकलदिक्तटबिजयमिलितमहीमण्डलैईष्टा सेनाभेदै-
स्तस्य सुभगसंनिवेशा वनोद्देशाः"
69,"बहुओ सामण्ण-मत्तणेण ताणं परिग्गहे लोओ|
कामं गभ पसिद्धिं सामण्ण-कई अओअ || ७५ |
मधुमथविजयप्रयुक्ता वाक् कथं नाम मुकुलयत्वस्मिन् प्रथम-
कुसुमात् तर्लिन पश्चात्कुसुमं वनलतानाम्"
70,"लगिष्यति न वा सुजने
वचनीयं दुर्जनैर्भण्यमानम् | तेषां पुनस्तत्सुजनापवाददोषेण संघटते"
71,"परगुणपरिहारपरंपरया तथा ते गुणज्ञा जाताः| जातास्तैरेव यथा
गुणैर्गुणिनः परं पिशुनाः"
72,"यक्षिर्मला अपि वियन्ते हन्त विमलैः
सज्जनगुणैः | तत्सदृशं शशिकरकारणया करिदन्तवेदनया"
73,"येषामसमविहिता जायते निन्दा समा लाद्यापि निन्दापि तैर्विहिता न
तेषां मन्ये क्रमयति"
74,"नन्वन्तु निजकगुणगौरवेऽडपर मुखच्छायाः |
गुरवः स्वशीलदोलायमानपरदृष्टमुखरागाः"
75,"बहुः सामान्यमतित्वेन
तेषां परिग्रहे लोकः | कामं गताः प्रसिद्धि सामान्यकवयोऽत एव"
76,"हरत्यणुरपि परगुणो गुरावपि
निजगुणे न संतोषः | शीलस्य विवेकस्य च सारमेतदियदेव"
77,"कुमुदावबोधमधुरा बिरलागतमेघखण्डितसृगादकाः | राजन्ते निशा
असमाप्तगलितसलिलागमास्तस्य"
78,"निर्वर्तयमानानां शिवं सकलमेव
शिवतरं तथा तेषाम् | निर्वर्तते किमपि यथा तेऽप्यात्मना विस्मयमुपयन्ति"
79,"पार्श्वेऽहङ्कारी भविष्यति कथं वा गुणानां विपरोक्षे| गर्यो न
गुणिगतमदी गुणस्थमिच्छन्ति गुणकामाः"
80,"अभिलङ्घ्य लोकं
स्थितानामेकत्वेन गुरुणाम् द्वितीयापेक्ष्यय लम्व्य के मत्सरः स्फुरत"
81,"निजमतिसंदेह एवं मतिसंदेहावलोकने येषाम् | भवन्ति
विचारस्थानं स्थितरुपास्ते न लोकस्य"
82,"१५
को निन्दति नीचतमान् गुरुतरान का प्रशंसितुं शक्नोति | सामान्यमेव
स्थानं स्तुतीनां परिनिन्दितानां च"
83,"श्रुत्वा जानन्ति परं ये न
विकल्पयन्त्यात्मनैव ते नहीं इव गर्वस्य गर्विणः कथं न लज्जन्ते"
84,"कालगुणात् प्रथमकविभिर्भ्रान्त मपरिग्रहेषु मार्गेषु | इदानीं मतिभिर्हियन्ते
दुष्करं केऽपि केषामपि"
85,"कुतो नाम नदृष्टं सत्यं कविसेवितेषु
मार्गेषु सीमन्ते पुनर्मुक्ते तस्मिन् सर्व नवमेव"
86,"अर्थालीकनतरलेतरकवीनां भ्राम्यन्ति बुद्धयः |
अर्था एव निरारम्भमेन्ति हृदयं कवीन्द्राणाम्"
87,"आसंसारं
कविपुंगवः प्रतिदिवसगृहीतसारोऽपि अद्याप्यभिन्नमुद्र इव जयति
वाक्परिस्पन्दः"
88,"किमन्यदनन्यमनोभिस्तायत्सुकविभिः शिक्षिता वाकू जातं निः-
सामान्यानां तेषां मूकत्वं यावत्"
89,"को वा विचारयति विशेषविस्तरं
तेषां यत् स्थितं लोके | नाम्न्येव संक्रान्ता गुरूणां गुणाः स्फुरन्तीव"
90,"येषां स्वरूपावगमेऽपि गर्विताः किमपि भवन्त्यन्येऽपि | त
आयासाय वहन्त्यात्मनः केवलं माहात्म्यम्"
91,"मोहप्रतिवीधकारित्वेन
तिमिरमिव यत् प्रकाश इव तज्जयति विरुद्धमिव विकल्पजाल
कवीन्द्राणाम्"
92,"नवमर्थदर्शनं संनिवेशशिशिरा वन्धर्द्धयः | अवि-
रलमेतदाभुवनबन्धमिह केवलं प्राकृते"
93,"सकला इदं वाचो विशन्तीतञ्च निर्यन्ति
वाचः | एन्ति समुद्रमेव निर्यन्ति सागरादेव जलानि"
94,"हर्षविशेषी
विकासको मुकुलीकारक श्चाक्ष्णोः | इह बहिर्मुखोऽन्तर्मुखमा हृदयस्य
विस्फुरति"
95,"अनुकम्पा वा हासो वा भवत्यवधारणा वा गुरूणाम् |
इतरेष्वज्ञातगुणान्तरेषु न पुनर्हृदयदुःखम्"
96,"य आत्मनो नाधिकाः
सहशा वा तैः किं भणद्भिः | यथातथा परस्मादिच्छन्ति तथापि गुरबो
वहुमानम्"
97,"भवन्तु वा विगतगर्दा माहात्म्यगर्विता वा विचरन्तु |
यथातथा निर्वृत्तगुणा हासस्थानं न लोकस्य"
98,"भीतमिव लज्जितमिव
स्तम्भितमिव किमपि भवति श्रान्तमिव दूनमिवापूर्णमिव प्रहर्षोच्चमिवेह
हृदयम्"
99,"""
अस्ति निवर्तितानि शेषभुवनदुरिताभिनन्दितमहेन्द्रः | श्रीयशोवर्मेति
दिक्प्रतिलग्नगुणो महीनाथः"
100,"घूर्णते समुच्छलन्ती यस्मिञ्चलति
रेणुभावेन | वसुधापुकोपफमेव धवलातपत्रेषु"
101,"चलिअम्मि जम्मि विअणा-बिहुअ-फणा-मंडलो वि णो मुअइ |
महि-वेढं बल-भर खुत्त-र अण-संदागिअं सेसो"
102,"णीसंदर जस्सरणाइरेसु कीलालिओ गअ मरण |
आहअ-यम्माणल-दर-विराअ-धारो व कर-वालो"
103,"सेवंजलि-मिलिअ णडाल-मंडला हाँति हडपणामेसु |
भूमिअ-भिउडी-भंग व जस्स पडिवक्ख सामंता"
104,"मङ्गललास्यक्लाम्य सुरवधूकण्ठशीतली वहति | अभिन्नमधुरमन्दार-
सुन्दर सुरपथसमीरः"
105,"कपोतस्थितविषमतारप्रभा-
भेदकलुषितानीव | श्यामायन्ते ललाटानि यस्य प्रतिपक्षबन्दीनाम्"
106,"पार्श्वे प्रतापस्पृष्टस्य यशः पादपस्येव महत् अयशो रिपूणां दृश्यते छाया-
निवह इव संक्रान्तः"
107,"गम्भीरमहारम्भा संभावितसागरं परि-
भ्रमति भुवनान्तरेषु भागीरथीव सा भारती यस्य"
108,"यामवतीमुखभृते संध्यामंदिरया दिनकराधारे आकाशकेसरं
दन्तुरयन्ति नक्षत्रकुसुमानि"
109,"अपि च शोभते विनिवेशित शिथिलाङ्गुली-
कोटिकर्षणाच्छतिः प्रकटिताभ्यन्तरवणनिवेशेषदंतुराऽधरः"
110,"मुच्यन्ते प्रेरितालकंसरा मूलजुलितमकरन्दाः| निभृतं लीलाकुवलय-
प्रतिडिताः कथमपि निःश्वासाः"
111,"वामकराकृष्टशून्यमलिनविक्षितकुन्तलशिखानाम् | अरतिविलास-
खेदितानां निर्वर्तते सौभाग्यम्"
112,"अर्धति मङ्गलग्रहतिककुसुम-
प्रेषितप्रसाधनापीडम् | विमुखनयनावधीरितेषद्वन्दितचन्दनं वदनम्"
113,"इति यस्य समरदर्शनलीलानिर्मितमन्मथविकाराः | त्रिदशतरुण्योऽथापि
मन्ये निभृतं क्लाम्यन्ति"
114,"अस्खलितशरीरवचनः
स्वभावहव्यापसरम्मदधीरः | मत्त इति केवलं ज्ञायते कपोलरागेण
युवतिजनः"
115,"तं स्वगुहामुखनिर्वृतधूमवल बावलम्बितनितम्बाः| बज्रानलध्माय-
माना लोहमिव मुञ्चन्ति धरणिधराः"
116,"लक्ष्यते धूमायमानपक्ष-
निष्कान्त शिखि शिखानिवहः | संभ्रमसंचलितचलइरजनिदिवस इव
सुरशैलः"
117,"येष्वेव कुण्डचते रभसोवनमुखरो महीधरेषु तेष्वेव
निषजति प्रतिरोधान्दोलनशीलः कुलिशः"
118,"बेलुन्ति कन्दरोदरनिर्वृलकिटविहगाः | सहसैव शैलसी-
मन्तिन्यो भयमुक्तगर्भाः"
119,"विध्यापयति बेहनावनतमहीपीठी-
भयदिगागतसमुद्रः स्थानपरिसंस्थितोऽपि पक्षच्छेदानलं शैलः"
120,"प्रतिदिवस रविमण्डलसंचलोप्मायमाणकटकेन | उदयाचलेन कुलिशो
मिलितोऽपि चिरेण विज्ञातः"
121,"डज्झति विसाल-वाअ-विसहरामुक चंदण-कधा |
तिअस-विअसाविअंसुअ-सेविअ धूमा मलअ-वक्खा"
122,"दह्यन्ते विषानलवानविषधरामुक्त-
चन्दनस्कन्धाः | त्रिदशविकासितांशुकलेवितधूमा मलयपक्षाः |"
123,"निशुम्भतपक्षपतन्तो मां दुलविभ्रमेण भज्यन्ते तत्क्षणतरलपलाय-
मानविषधरा महीधरोद्वाताः | १२२ || कथमपि धारयति महीतलं
निष्पक्षपतगिरिनिशुम्भ्यमानम्| दंष्ट्राभिन्नसशोणितमुखानिवहारोषितः शेषः"
124,"दृश्यते ज्वलच्छलं तापापसारितवत्सुरलोकम् घूमत्रस्त-
पितामहकमलालिकरम्बितं गगनम्"
125,"गर्भालसा इव पुनः कथमपि गुहालीनपोतगुर्व्यः प्राप्नुवन्ति
भयाच्छलाङ्गगना गगनाद्गणोदेशम्"
126,"क्षणतरलितपक्षपुटाः
कटारविद्युच्छटाशिखावति| शलभा इवास्तायन्ते पविप्रदीपे धरणिधराः"
127,"स्तोकायन्तीय विरला दीर्घायन्तीव क्षपितविस्तारा: तुगा
यन्तीव तनवः पविखण्डितपक्षा गिरयः"
128,"शिथिलप्रसारितपक्षा
गृह्यन्ते प्रधावितेन कुलिशेन | दूरोत्पत्तिनिपतिता दरप्रप्लुतनिःसहा
गिरयः"
129,"कुलिशस्ताडयति धरान धरा महीं कुलिशस्त्रण्डितपतन्तः |
निपतच्छल प्रहता महापि शेषफणावलयम्"
130,"निजघूमकद्वकृतानि
गिरिजालानि तपक्षपक्ष्माणि | स्फुटन्ति लोचनानीय दिशां मुक्तनिर्झरा-
भूणि"
131,"जाता दाह विनिर्गतसंस्त्यानाय सशिलातटस्थपुटाः |
कुलिशप्रत्येषणयोग्याः पञ्चात् कटका महीधराणाम्"
132,"२३
दग्धवनराजिकलुषास्त एव शिखरनिर्झराः सदुःखानाम् | जाताः
सकज्जला इव बाप्पावतारा गिरिवधूनाम्"
133,"एन्ति गगनापसरत्सु कथमपि
उन्मुखसमी रहियमाणाः स्तोकोत्पतितनिविष्टाः शैलेषु विहंगसंघाताः"
134,"कुलिशानलपिङ्गलित उत्पतनतलावसक्तशशिविम्बः | उत्क्षिप्ता-
मृतकलशो गरुड इव गिरिः परिभ्रमति"
135,"शैलनितम्बोत्पतिता
वज्रानलसदृशविद्युत्पिञ्जरिताः| लूनमहीधरपक्षनिभा नभसि घूर्णन्ते
धननिवहाः"
136,"दृश्यन्ते कुलिशमिलिता अङ्ग रायमाणकुसुमफल-
किसलयाः | त्रिदशमिथुनानुशोचितसंकेतलतागृहा गिरयः"
137,"वैकल्यवेलनशीलानां परिवर्तमाना गिरीणां कटकेषु सरिन्मार्गाः
प्राप्नुवन्ति विकटव्रणपटुकच्छायाम्"
138,"अवतरणलालसैगिरिषु
दृश्यते गुहाविनिर्यद्भिः | पक्षच्छेद एव तटस्थितैर्वसुधावनचरैः"
139,"ज्वलितात्पतितवलन्तो ऽधैर्नभोद्गणे विघटन्ति| अर्धेर्मूलगुरवो मह्यां
निपतन्ति गिरिपक्षाः"
140,"उपरिधूमनिवेशा मूलालग्नज्वलनानां
दृश्यन्ते | अधः स्थितालोकोत्क्षिप्ताभ्छायाबन्धा इव तरूणाम्"
141,"परिलूनपक्षस्यापि सुरगिरेर नथपक्षशङ्कया | घटितः पुनरपि कुलिशी
ज्वालासु नितम्बविकटासु"
142,"निजसामध्येनैव न तथा वेगेन
निष्ठुरप्रहारः | अन्यगिरिपक्षमहतो यथा छिनत्ति महीधरं कुलिशः"
143,"महीधरपतनोच्छलिता भ्रमन्ति प्रसृतमणिप्रभावलयाः |
डीला श्व
ज्वलितपक्षा गगने समुद्रकलोलाः"
144,"अर्पितत्रिदशविषादो निष्कामति
चिरेण दाहकृतविवरः | कुपितगिरिपक्षसंपुटसंपीडितनिष्फुरी वनः"
145,"असमाप्यमानदीर्घमूलायतारान समुद्रपतितानपि | नभोदूरस्थित-
शिखरान्न मुखति महीधरान कुलिशः"
146,"२५
एकः पुनर्धरणीधरोऽनितम्बमूलशिखराम्रः | लीनो दूरीच्छलि
जलधाविव जलधिकल्लोले"
147,"रभसा रसातलोदरविशालकंदरदरी-
प्रलुण्टन न ज्ञायते गिरिर्न जलधि जलधिरेव महीधरं विशति"
148,"इह स तरुतलशुष्क सलिलसंभिन्नकेसरामोदः परिणतकिण्वसुरागाढमधुरो
विनिर्गच्छति"
149,"अप्राप्ता अपि समुद्रं समुद्रपरि
रक्षिता इव गच्छन्ति | वेगसमुच्छलितनितम्ब सिन्धुपरिच्छादिता गिरयः"
150,"सचरति चिरपरिग्रहायण्योतीर्णवेपसौभाग्यः | स एव
पुराण लेख्यधूसर परिजन एवः"
151,"उत्पतितरेणुनिवहाः संवेलित-
विकटकन्दरच्छेदाः | त एव पतनभिन्नाः प्राप्ता लघुत्वं गिरयः"
152,"एकतः शल्यायमानवत्रधाराकणाः काम्यन्ति | अन्यतः कटकौषधिप्रभाव-
रुद्रवणा गिरयः"
153,"कुलिशो न दृश्यत पवैकस्मिन्नेव गिरी मुहान्| एकमिव शैलशिखरं
कथति कुलिशे गिरिजालम्"
154,"पक्षपुटकूटपुतिकल्पान्तरदीप्य-
मानहव्यवाहाः | प्रलय एव विध्याताः समुद्रभरपूरिता गिरयः"
155,"निःसहविमुक्तकायत्वेन व्युच्छिन्नपक्षलघुकमपि | तदेव भुजङ्गपतेर्जातं
गुरुकमिव गिरिजालम्"
156,"विघटितवसुधा दलिताविमण्डला
दूरविद्वतसमुद्रा | स्थितिलालसेन हरिणा नीता प्रलयमेव त्रिलोकी"
157,"आमुञ्चत्येव जीवितं गिरिमिथुनं निर्वृतैरङ्गैः प्रज्वलितपक्ष-
संपुटसंपादितशिशिरपरिरम्भम्"
158,"भयविघटितानां जातो लूनपक्षो
देशनिपतितस्थिराणाम् | अथ निरवसानदुःसहः कुदुम्बविरहो मही-
घराणाम्"
159,"कठिनगिरिपक्ष सूदन विघटितधारत्वेन सुरपतेः |
आरोहति कायलघुकः प्रेषणगुरुकः करं कुलिशः"
160,"इति येन खण्डितपक्षा गिरयोऽपि समन्नसत्ये स्थापिताः| एकासन-
संमानं सोऽपि हरिमन्यते यस्य"
161,"चिकुरापीडनप्रतिलग्नस्नान-
सृणरुणांशुकसुगन्धः | अर्धति मङ्गलगृहीतैककुसुमदामोज्यलो वेष"
162,"ईषदास्वादितमदिरामद्प्रविरलसंबध्यमानस्वेदलवम् | शोभते
मन्थरनिःस्थामलुलितनयनोत्पलं वदनम्"
163,"शोभते जलार्द्रा-
संदानविषममांसलित चन्दनच्छेदः | संकान्तपाटलामोद सुरभिशिशिरः
स्तनाभोगः"
164,"घूर्णते मधुरसविच्छुरितमालतीमुकुलकोमला ताम्रा|
निचताञ्जनरमणीयपक्ष्ममूलोज्वला दृष्टिः"
165,"विकीर्णचिकुरमञ्जरी-
शिखापरिस्खलितजललवाश्लिष्टम् | विश्राम्यति मुकुलितावनतनखक्ष-
ताङ्कुरं जघनम्"
166,"इति यस्य श्रीष्मादिवसावसाननिर्मितमज्ज-
नरसाभिः | लीलावापीषु रिपूणां संस्थितं वारवनिताभिः"
167,"विवरसमपतृतबिलीनहेममहीधररसप्रवाहः | पातालावतारित पृथु-
शिख इव प्रतिभाति हव्यवाहः"
168,"वनदेवताप्रसारितकरतलर्स-
वलित किसलयकलापः दद्यते घूमतमोहन्तरितमधुकरस्त्रिदशतरुषण्डः"
169,"प्रज्वलति धूममण्डलनिभविपलायमानाञ्छन मृगमिव |
निर्वृत्तस्फुलिङ्गच्छ लसंग लितग्रहमिव शशिविम्बम्"
170,"भीषणस्व-
रूपपरिसंस्थितमिव ज्वलनाहतमपि प्रतिभाति वेतालमण्डले मुखर
मुखगुहाघूर्णनशीलाग्निशिखम्"
171,"कर-कलिअ-खम्ग-लेहा-हि-पढमुभिण्ण-घूम लेहं व |
उज्झइ मिटुणं विज्जा-हरण अविओअ-वीसत्यं"
172,"यममहिषः कल्यते ज्वालासंवेलित हुतवहेन | ब्रह्माण्डप्रतिफलितावनत
इव निजधूमसमूहः"
173,"अमररमणीविधूयमानचामरसमूहपयनली-
लशिखः | भयवेपनशील इवालीयते कथमपि विबुधाधिपं ज्वलनः"
174,"२९
स्फुटितघनपटलप्रकटतडिच्छुटापण्डनिविदितो ज्वलति | रवि-
बिम्बवलयबद्धफल इव ज्वलनो नभस्तले"
175,"दान्ते सरल-
सूत्कारदूरविक्षिप्तशिखिशिखानिवहाः| ताण्डवितफणामण्डलपिण्डितधूमो-
गमाः फणिनः"
176,"उद्वहति धूमवलयं शेषः पृष्ठपरिसंस्थितोद्भवम् |
देहप्रभावितानं हरेरिव निवेशकान्तम्"
177,"ज्वलनशिखासंभा-
वितशरीरनिर्वापणानिमित्तमिव दद्यते शशिमण्डलकलशद तकण्डमहं
मदनाः"
178,"रक्षाभुजंगमोद्गीर्णविषजलासारविरलितोवः | अभिलाति
निधिस्थानानि कथमपि ज्वलनः कुवेरस्य"
179,"शोभते वलद्वासुकि-
परिवेषार्जितविकटप्रतिबन्धः | ईपच्छिथिलहरजटा पुत्रञ्जपिञ्जरः शिखि-
शिखानिवहः"
180,"प्रतिभाति ज्वलनज्वाला पर संयमन पुञ्जितावयवः |
उत्पत्तिदिवसपरिसंस्थित इव तनयस्त्रिनयनस्य"
